id,Geographic Area Name,Total,Total!!Male!!Under 5 years,Total!!Female!!Under 5 years,id,zip
8710000US3727229,"ZCTA5 27229, North Carolina",3853,149,158,8710000US37,27229
8710000US3728110,"ZCTA5 28110, North Carolina",50280,2083,1963,8710000US37,28110
8710000US3728555,"ZCTA5 28555, North Carolina",5161,205,186,8710000US37,28555
8710000US3728901,"ZCTA5 28901, North Carolina",5241,148,143,8710000US37,28901
8710000US3727923,"ZCTA5 27923, North Carolina",598,17,2,8710000US37,27923
8710000US3728367,"ZCTA5 28367, North Carolina",87,1,1,8710000US37,28367
8710000US3727967,"ZCTA5 27967, North Carolina",366,4,15,8710000US37,27967
8710000US3728091,"ZCTA5 28091, North Carolina",2158,67,51,8710000US37,28091
8710000US3727701,"ZCTA5 27701, North Carolina",20059,839,817,8710000US37,27701
8710000US3727954,"ZCTA5 27954, North Carolina",6045,203,199,8710000US37,27954
8710000US3728579,"ZCTA5 28579, North Carolina",622,9,11,8710000US37,28579
8710000US3727011,"ZCTA5 27011, North Carolina",5496,144,140,8710000US37,27011
8710000US3727824,"ZCTA5 27824, North Carolina",1462,39,57,8710000US37,27824
8710000US3727235,"ZCTA5 27235, North Carolina",4060,106,116,8710000US37,27235
8710000US3728422,"ZCTA5 28422, North Carolina",6333,183,150,8710000US37,28422
8710000US3728019,"ZCTA5 28019, North Carolina",123,3,2,8710000US37,28019
8710000US3728088,"ZCTA5 28088, North Carolina",2862,89,75,8710000US37,28088
8710000US3728672,"ZCTA5 28672, North Carolina",35,1,0,8710000US37,28672
8710000US3727007,"ZCTA5 27007, North Carolina",2160,69,63,8710000US37,27007
8710000US3727916,"ZCTA5 27916, North Carolina",747,15,18,8710000US37,27916
8710000US3728277,"ZCTA5 28277, North Carolina",59664,2116,1990,8710000US37,28277
8710000US3727524,"ZCTA5 27524, North Carolina",12282,462,424,8710000US37,27524
8710000US3727823,"ZCTA5 27823, North Carolina",8138,271,224,8710000US37,27823
