Record ID Number,TIGER Address Range Match Indicator,TIGER Match Type,TIGER Output Address,"Interpolated Longitude, Latitude",TIGER Line ID,TIGER Line ID Side,State Code,County Code,Tract Code,Block Code,address,city,state,zip
33,Match,Exact,"2110 TRAWICK RD, RALEIGH, NC, 27604","-78.5773,35.809116",72510479,R,37,183,52707,3030,2110 TRAWICK ROAD, RALEIGH, NC,27604
34,Match,Exact,"3591 TARHEEL CLUB RD, RALEIGH, NC, 27604","-78.526855,35.82528",639838573,L,37,183,54113,1004,3591 TARHEEL CLUB RD, RALEIGH, NC,27604
36,Match,Exact,"2414 KENNINGTON RD, RALEIGH, NC, 27610","-78.603485,35.792923",72508363,R,37,183,51900,3016,2414 KENNINGTON RD, RALEIGH, NC,27610
37,Match,Non_Exact,"509 S PERSON ST, RALEIGH, NC, 27601","-78.635155,35.77389",72508732,L,37,183,50100,1117,509 S PERSON ST, RALEIGH, NC,27601
39,Match,Exact,"504 NEWTON RD, RALEIGH, NC, 27615","-78.64062,35.87848",72532699,R,37,183,54006,1003,504 NEWTON ROAD, RALEIGH, NC,27615
260,Match,Exact,"1035 HALIFAX ST, RALEIGH, NC, 27604","-78.638275,35.793274",612816930,L,37,183,50400,1020,1035 HALIFAX STREET, RALEIGH, NC,27604
140,Match,Non_Exact,"616 HADLEY DR, RALEIGH, NC, 27610","-78.62784,35.752422",72663052,L,37,183,52101,4028,616 HADLEY ROAD, RALEIGH, NC,27610
261,Match,Exact,"300 ARBOR GREENE DR, GARNER, NC, 27529","-78.61739,35.653492",634822834,L,37,183,52903,1028,300 ARBOR GREENE DRIVE, GARNER, NC,27529
141,Match,Exact,"6523 JOHNSON POND RD, FUQUAY VARINA, NC, 27526","-78.75706,35.606583",647311629,R,37,183,53109,1021,6523 JOHNSON POND ROAD, FUQUAY-VARINA, NC,27526
262,Match,Exact,"201 POWHATAN DR, FUQUAY VARINA, NC, 27526","-78.80114,35.603127",72662244,R,37,183,53105,1004,201 POWHATAN DRIVE, FUQUAY-VARINA, NC,27526
142,Match,Exact,"1305 GLENWOOD AVE, RALEIGH, NC, 27605","-78.64648,35.7954",208347599,R,37,183,50300,1003,1305 GLENWOOD AVE, RALEIGH, NC,27605
263,Match,Exact,"3322 DUTCHMAN RD, RALEIGH, NC, 27610","-78.59113,35.74576",619294399,R,37,183,52803,3014,3322 DUTCHMAN RD, RALEIGH, NC,27610
143,Match,Non_Exact,"1323 CLAYMORE DR, GARNER, NC, 27529","-78.6257,35.690254",72649722,L,37,183,52801,3000,1323 CLAYMORE STREET, GARNER, NC,27529
264,Match,Exact,"610 NOTTINGHAM DR, CARY, NC, 27511","-78.741516,35.76771",639843477,L,37,183,53516,1005,610 NOTTINGHAM DRIVE, CARY, NC,27511
144,Match,Non_Exact,"3920 NEELEY ST, RALEIGH, NC, 27606","-78.6935,35.781593",72502841,R,37,183,52408,1002,3920 NEELY ST, RALEIGH, NC,27606
265,Match,Exact,"3116 BLUE RIDGE RD, RALEIGH, NC, 27612","-78.70285,35.821968",639512631,R,37,183,52504,1001,3116 BLUE RIDGE ROAD, RALEIGH, NC,27612
145,Match,Exact,"3250 FORESTVILLE RD, RALEIGH, NC, 27616","-78.51005,35.884106",621972078,L,37,183,54209,1066,3250 FORESTVILLE ROAD, RALEIGH, NC,27616
146,Match,Exact,"9920 SELLONA ST, RALEIGH, NC, 27617","-78.80889,35.900917",641563825,L,37,183,53610,2040,9920 SELLONA STREET, RALEIGH, NC,27617
267,Match,Exact,"1900 EDWIN DR, RALEIGH, NC, 27610","-78.61104,35.75312",72509871,R,37,183,52102,1026,1900 EDWIN DRIVE, RALEIGH, NC,27610
147,Match,Exact,"1450 TRYON MANOR DR, CARY, NC, 27518","-78.74613,35.74788",612830279,R,37,183,53003,1040,1450 TRYON MANOR DRIVE, CARY, NC,27518
268,Match,Non_Exact,"210 S ROGERS LN, RALEIGH, NC, 27610","-78.55031,35.773067",619260182,R,37,183,54106,2008,210 N ROGERS LANE, RALEIGH, NC,27610
148,Match,Exact,"610 LAKESTONE COMMONS AVE, FUQUAY VARINA, NC, 27526","-78.765915,35.591312",634097233,R,37,183,53108,2001,610 LAKESTONE COMMONS AVE, FUQUAY-VARINA, NC,27526
149,Match,Exact,"150 ROSEWOOD CENTRE DR, HOLLY SPRINGS, NC, 27540","-78.83412,35.678402",648795329,R,37,183,53420,1036,150 ROSEWOOD CENTRE DRIVE, HOLLY SPRINGS, NC,27540
40,Match,Exact,"4001 GREEN RD, RALEIGH, NC, 27604","-78.59205,35.837723",208353134,L,37,183,52704,1008,4001 GREEN ROAD, RALEIGH, NC,27604
41,Match,Exact,"1601 MARTIN LUTHER KING JR BLVD, RALEIGH, NC, 27610","-78.61427,35.769836",72618782,R,37,183,52002,4009,1601 MARTIN LUTHER KING JR BLVD, RALEIGH, NC,27610
42,Match,Exact,"123 BRIGHT BEGINNING WAY, CARY, NC, 27519","-78.87126,35.77575",612817800,L,37,183,53409,2012,123 BRIGHT BEGINNING WAY, CARY, NC,27519
45,Match,Exact,"800 CORPORATE CENTER DR, RALEIGH, NC, 27607","-78.739395,35.793186",641585208,L,37,183,52401,1066,800 CORPORATE CENTER DR, RALEIGH, NC,27607
46,Match,Exact,"101 ENDEAVOR WAY, CARY, NC, 27513","-78.77216,35.830948",208365655,L,37,183,53512,2021,101 ENDEAVOR WAY, CARY, NC,27513
47,Match,Non_Exact,"8516 LEAD MINE RD, RALEIGH, NC, 27615","-78.66297,35.898815",208376987,R,37,183,53723,1005,8516 OLD LEADMINE ROAD, RALEIGH, NC,27615
49,Match,Exact,"2500 HIGHSTONE RD, CARY, NC, 27519","-78.85168,35.788624",633686171,R,37,183,53425,2005,2500 HIGHSTONE ROAD, CARY, NC,27519
270,Match,Exact,"3202 NORTHAMPTON ST, RALEIGH, NC, 27609","-78.65129,35.825165",72502269,R,37,183,51700,3009,3202 NORTHAMPTON ST, RALEIGH, NC,27609
150,Match,Exact,"2000 CARRINGTON MILL BLVD, MORRISVILLE, NC, 27560","-78.839905,35.85891",641576230,R,37,183,53609,1059,2000 CARRINGTON MILL BLVD, MORRISVILLE, NC,27560
271,Match,Exact,"615 ROYAL ST, RALEIGH, NC, 27607","-78.68847,35.79125",72501771,L,37,183,51101,2006,615 ROYAL STREET, RALEIGH, NC,27607
272,Match,Exact,"3757 TRYON RIDGE DR, RALEIGH, NC, 27610","-78.58622,35.7435",619516361,L,37,183,52803,3014,3757 TRYON RIDGE DRIVE, RALEIGH, NC,27610
273,Match,Exact,"701 GRANITE FALLS BLVD, ROLESVILLE, NC, 27571","-78.45899,35.928493",641561977,L,37,183,54211,2097,701 GRANITE FALLS BLVD, ROLESVILLE, NC,27571
153,Match,Exact,"4325 TRYON RD, RALEIGH, NC, 27606","-78.71002,35.74982",639845101,L,37,183,53008,2005,4325 TRYON ROAD, RALEIGH, NC,27606
154,Match,Non_Exact,"7421 SIEMENS DR, WENDELL, NC, 27591","-78.38598,35.81481",72602458,L,37,183,54404,2009,7421 SIEMENS ROAD, WENDELL, NC,27591
156,Match,Exact,"7106 FORESTVILLE RD, KNIGHTDALE, NC, 27545","-78.48228,35.808495",639848824,L,37,183,54112,1035,7106 FORESTVILLE ROAD, KNIGHTDALE, NC,27545
277,Match,Non_Exact,"400 E EARP ST, HOLLY SPRINGS, NC, 27540","-78.82904,35.652996",72489784,L,37,183,53204,2002,400 EARP ST, HOLLY SPRINGS, NC,27540
157,Match,Non_Exact,"4605 OLD FAISON RD, KNIGHTDALE, NC, 27545","-78.50281,35.77522",638404333,L,37,183,54115,4011,4605 OLD FAISON ROAD, KNIGHTDALE, NC,27545
278,Match,Exact,"400 GATHERING PARK CIR, CARY, NC, 27519","-78.85656,35.82034",612829079,R,37,183,53603,1081,400 GATHERING PARK CIRCLE, CARY, NC,27519
158,Match,Exact,"3308 POOLE RD, RALEIGH, NC, 27610","-78.58301,35.770702",208361345,R,37,183,52806,2025,3308 POOLE RD SUITE 102, RALEIGH, NC,27610
279,Match,Exact,"201 HIGH HOUSE RD, CARY, NC, 27513","-78.79959,35.783455",639836008,R,37,183,53524,1015,201 HIGH HOUSE ROAD, CARY, NC,27513
159,Match,Exact,"6010 MCCRIMMON PKWY, MORRISVILLE, NC, 27560","-78.8492,35.838455",639840292,L,37,183,53608,1053,6010 MCCRIMMON PARKWAY, MORRISVILLE, NC,27560
50,Match,Exact,"800 WESTON PKWY, CARY, NC, 27513","-78.772804,35.829414",72567066,R,37,183,53512,2021,800 WESTON PARKWAY, CARY, NC,27513
51,Match,Exact,"8317 BRYAN RD, GARNER, NC, 27529","-78.59095,35.665382",646932915,R,37,183,52808,4036,8317 BRYAN ROAD, GARNER, NC,27529
52,Match,Exact,"5651 HONEYCUTT RD, HOLLY SPRINGS, NC, 27540","-78.844025,35.61991",649442623,R,37,183,53206,1041,5651 HONEYCUTT RD, HOLLY SPRINGS, NC,27540
53,Match,Exact,"825 COOPER RD, RALEIGH, NC, 27610","-78.5866,35.766514",72510811,L,37,183,52002,3002,825 COOPER ROAD, RALEIGH, NC,27610
54,Match,Exact,"1202 LYERLY LN, CARY, NC, 27511","-78.75578,35.772728",72499283,L,37,183,53516,2001,1202 LYERLY LANE, CARY, NC,27511
56,Match,Exact,"3801 MITCHELL MILL RD, RALEIGH, NC, 27616","-78.51609,35.88475",616701783,R,37,183,54209,1075,3801 MITCHELL MILL ROAD, RALEIGH, NC,27616
57,Match,Exact,"4204 JACQUELINE LN, RALEIGH, NC, 27616","-78.569244,35.882133",72580357,R,37,183,54014,3012,4204 JACQUELINE LANE, RALEIGH, NC,27616
58,Match,Exact,"614 GRIFFIS ST, CARY, NC, 27511","-78.788216,35.779682",72563871,L,37,183,53507,2014,614 GRIFFIS STREET, CARY, NC,27511
59,Match,Exact,"529 BETHLEHEM RD, KNIGHTDALE, NC, 27545","-78.490105,35.779297",647320532,R,37,183,54115,4006,529 BETHLEHEM ROAD, KNIGHTDALE, NC,27545
280,Match,Non_Exact,"2275 N GRASSLAND DR, FUQUAY VARINA, NC, 27526","-78.810036,35.61695",639836756,L,37,183,53205,1035,2275 GRASSLAND DRIVE, FUQUAY-VARINA, NC,27526
160,Match,Exact,"150 TOWNE VILLAGE DR, CARY, NC, 27513","-78.838264,35.7828",639408181,L,37,183,53425,1005,150 TOWNE VILLAGE DRIVE, CARY, NC,27513
161,Match,Exact,"7580 CARPENTER FIRE STATION RD, CARY, NC, 27519","-78.89803,35.822777",612827165,L,37,183,53601,3019,7580 CARPENTER FIRE STATION RD, CARY, NC,27519
162,Match,Exact,"821 BUCK JONES RD, RALEIGH, NC, 27606","-78.737885,35.77222",72652575,R,37,183,53008,1005,821 BUCK JONES RD, RALEIGH, NC,27606
284,Match,Exact,"100 ENDEAVOR WAY, CARY, NC, 27513","-78.772156,35.83096",208365655,R,37,183,53512,2013,100 ENDEAVOR WAY, CARY, NC,27513
164,Match,Exact,"100 E JUDD ST, ZEBULON, NC, 27597","-78.31874,35.831074",72643897,R,37,183,54302,2042,100 EAST JUDD STREET, ZEBULON, NC,27597
285,Match,Exact,"8000 GLENWOOD AVE, RALEIGH, NC, 27612","-78.72623,35.87264",639836711,R,37,183,53725,2027,8000 GLENWOOD AVENUE, RALEIGH, NC,27612
165,Match,Exact,"3129 POPLARWOOD CT, RALEIGH, NC, 27604","-78.6039,35.818207",72508103,L,37,183,52705,2015,3129 POPLARWOOD COURT, RALEIGH, NC,27604
286,Match,Exact,"5600 DURALEIGH RD, RALEIGH, NC, 27612","-78.711296,35.853348",72646586,L,37,183,52507,2007,5600 DURALEIGH RD, RALEIGH, NC,27612
166,Match,Exact,"300 EARNIE LN, HOLLY SPRINGS, NC, 27540","-78.84667,35.65614",72618423,L,37,183,53204,1005,300 EARNIE LANE, HOLLY SPRINGS, NC,27540
287,Match,Exact,"222 CAPCOM AVE, WAKE FOREST, NC, 27587","-78.52763,35.94936",72485258,L,37,183,54208,1047,222 CAPCOM AVENUE, WAKE FOREST, NC,27587
167,Match,Non_Exact,"2880 STATE HWY 55, CARY, NC, 27519","-78.870605,35.7915",641064187,L,37,183,53603,1085,2880 HIGHWAY 55, CARY, NC,27519
168,Match,Exact,"6560 TRYON RD, CARY, NC, 27518","-78.76506,35.742855",639850471,L,37,183,53506,4026,6560 TRYON ROAD, CARY, NC,27518
169,Match,Exact,"8050 CHAPEL HILL RD, CARY, NC, 27513","-78.77021,35.7934",614325435,L,37,183,53520,1014,8050 CHAPEL HILL RD, CARY, NC,27513
